set_piece_category,set_piece_phase,score_state,minute_bucket_label,shots,goals,xg_total,goal_rate,xg_per_shot,modeled_prob,lift_vs_xg,lift_vs_model,bucket_logit,odds_multiplier
Open Play,Open Play,Leading 2+,75-90,45,3,4.1251169834,0.06666666666666667,0.09166926629777777,0.07111435870944632,-0.025002599631111108,-0.004447692042779658,-0.1699982932958897,0.8436662564838225
Indirect Free Kick,Second Phase,Level,90+,17,1,1.481643107,0.058823529411764705,0.08715547688235294,0.06868575943908181,-0.02833194747058823,-0.009862230027317107,-0.18008262428607938,0.8352012006573922
Corner,First Phase,Level,60-75,37,2,3.023696651,0.05405405405405406,0.0817215311081081,0.059510869075595454,-0.02766747705405405,-0.005456815021541397,-0.1874362411434906,0.8290819778141055
Corner,First Phase,Leading 1,60-75,19,1,1.97317412,0.05263157894736842,0.10385126947368421,0.062191551983933356,-0.051219690526315795,-0.009559973036564938,-0.19157940946495924,0.8256540577562154
Indirect Free Kick,Second Phase,Level,15-30,18,1,1.6275703719999999,0.05555555555555555,0.09042057622222222,0.06601991327163298,-0.03486502066666666,-0.010464357716077427,-0.20062259475183808,0.8182211742549579
Open Play,Open Play,Leading 2+,60-75,40,2,3.3265144859999998,0.05,0.08316286214999999,0.055446514513397036,-0.033162862149999986,-0.005446514513397033,-0.20130013113772005,0.8176669873997808
Open Play,Open Play,Level,60-75,107,8,9.6315732365,0.07476635514018691,0.0900147031448598,0.0761781327578835,-0.015248348004672896,-0.0014117776176965913,-0.2029961562441644,0.8162813790058939
Indirect Free Kick,First Phase,Leading 1,75-90,19,1,1.892186192,0.05263157894736842,0.09958874694736843,0.0638737058225224,-0.04695716800000001,-0.011242126875153982,-0.22523191406244877,0.7983310530912444
Open Play,Open Play,Trailing 1,75-90,76,5,7.2996980665,0.06578947368421052,0.09604865876973685,0.06965212446571716,-0.03025918508552633,-0.0038626507815066324,-0.2807574358494092,0.7552115005008115
Goal Kick,First Phase,Level,0-15,25,1,1.847141459,0.04,0.07388565836,0.05121444795665046,-0.033885658359999994,-0.011214447956650463,-0.28910424383607547,0.7489341295666438
Corner,Second Phase,Level,45-60,30,1,1.608287241,0.03333333333333333,0.0536095747,0.04282328679266711,-0.02027624136666667,-0.009489953459333775,-0.2897777028068806,0.7484299229588335
Throw In,First Phase,Level,30-45,66,4,5.9588972352,0.06060606060606061,0.09028632174545455,0.06556669216866544,-0.02968026113939394,-0.004960631562604831,-0.291506703842237,0.7471370048975714
Throw In,First Phase,Trailing 1,15-30,23,1,1.794712039,0.043478260869565216,0.0780309582173913,0.05567189634700259,-0.03455269734782608,-0.012193635477437376,-0.2916700000447737,0.7470150102228016
Indirect Free Kick,First Phase,Level,0-15,66,3,5.1631526397,0.045454545454545456,0.07822958545,0.05028234428458915,-0.032775039995454544,-0.004827798830043695,-0.2982348336704828,0.7421270428657464
Corner,Second Phase,Level,30-45,17,1,1.397696249,0.058823529411764705,0.0822174264117647,0.07538938778087327,-0.023393896999999997,-0.016565858369108566,-0.30026858054939876,0.7406192780342613
Throw In,First Phase,Trailing 1,60-75,43,2,3.278636383,0.046511627906976744,0.07624735774418605,0.054100379487366346,-0.029735729837209304,-0.007588751580389602,-0.30241067306784897,0.7390345009952705
Throw In,First Phase,Trailing 1,90+,31,1,2.1184058976999998,0.03225806451612903,0.06833567411935483,0.043392096913647205,-0.0360776096032258,-0.011134032397518173,-0.3497038604991794,0.7048968066009683
Corner,First Phase,Level,0-15,79,4,7.576513672,0.05063291139240506,0.09590523635443038,0.05536562289846416,-0.045272324962025316,-0.004732711506059098,-0.36008483077447784,0.6976171441582149
Corner,First Phase,Level,30-45,59,3,5.324951024,0.05084745762711865,0.09025340718644068,0.057852421806959146,-0.03940594955932203,-0.007004964179840499,-0.363358802129396,0.6953369003747618
Open Play,Open Play,Trailing 1,90+,40,2,3.9605313520000003,0.05,0.0990132838,0.06228308854650205,-0.0490132838,-0.01228308854650205,-0.4555906074719431,0.6340733688691953
Throw In,First Phase,Level,60-75,34,1,2.6891051138,0.029411764705882353,0.0790913268764706,0.044087256992035334,-0.04967956217058824,-0.014675492286152982,-0.5020271872990703,0.6053023538863948
Throw In,First Phase,Trailing 1,45-60,37,1,2.942256107,0.02702702702702703,0.07952043532432432,0.04228006071743407,-0.05249340829729729,-0.015253033690407043,-0.563342427760255,0.5693030259883187
Throw In,First Phase,Level,15-30,76,3,5.9920761766,0.039473684210526314,0.07884310758684211,0.04788791451712506,-0.0393694233763158,-0.008414230306598748,-0.5718699327838804,0.5644689322474726
Direct Free Kick,Direct,Level,30-45,26,0,0.9195772962,0.0,0.03536835754615385,0.02459809664736184,-0.03536835754615385,-0.02459809664736184,-0.6596990019570658,0.5170069291475379
Corner,First Phase,Trailing 1,75-90,26,0,1.4672058434,0.0,0.056430993976923076,0.026808756341945232,-0.056430993976923076,-0.026808756341945232,-0.7218936396199295,0.4858313947677889
Open Play,Open Play,Trailing 2+,75-90,28,0,1.401301262,0.0,0.050046473642857144,0.025437412567497958,-0.050046473642857144,-0.025437412567497958,-0.7371084295695292,0.47849552055259525
Corner,Second Phase,Level,15-30,21,1,2.2281077320000002,0.047619047619047616,0.1061003681904762,0.08192807479803843,-0.05848132057142859,-0.034309027178990814,-0.7517717456295306,0.47153038032680406
Corner,Second Phase,Level,60-75,15,0,1.0564488606,0.0,0.07042992404,0.05023940657315551,-0.07042992404,-0.05023940657315551,-0.7760693189526084,0.46021140501480806
Indirect Free Kick,First Phase,Trailing 1,60-75,29,1,3.69047567,0.034482758620689655,0.12725778172413793,0.06363510280638712,-0.09277502310344828,-0.029152344185697468,-0.8729571414554993,0.4177144802490042
Indirect Free Kick,Second Phase,Level,30-45,17,0,1.865810975,0.0,0.10975358676470588,0.05378446247549606,-0.10975358676470588,-0.05378446247549606,-0.9635375224704903,0.38154078673792235
Throw In,Second Phase,Level,30-45,20,0,2.406312583,0.0,0.12031562915,0.04949593034674173,-0.12031562915,-0.04949593034674173,-1.0432525573345068,0.3523069179365655
Open Play,Open Play,Trailing 1,60-75,70,0,5.1645875262,0.0,0.07377982180285714,0.018806978700325695,-0.07377982180285714,-0.018806978700325695,-1.3252262216070754,0.265742835517238
