match_id,match_date,is_home,competition_season_key,competition_statsbomb_id,competition_season,def_rolling_component,style_def_component,concession_bias_logit,concession_bias_multiplier
355,2015-08-08,True,2-2015/2016,2,2015/2016,0.0,0.0,0.0,1.0
409,2015-08-15,False,2-2015/2016,2,2015/2016,0.4664781154319555,-0.08617291466085142,0.2730502548994731,1.313966276408652
414,2015-08-22,True,2-2015/2016,2,2015/2016,0.37559876197429176,-0.1073212061643567,0.2065767731257648,1.2294621202438414
272,2015-08-29,False,2-2015/2016,2,2015/2016,-0.04024480967331856,0.11801826442324614,0.015147266260479079,1.0152625675288056
298,2015-09-13,True,2-2015/2016,2,2015/2016,0.07615007258835785,0.22082530735589723,0.12678640475699662,1.1351745240063438
252,2015-09-19,False,2-2015/2016,2,2015/2016,0.211968364286763,0.15735768589766153,0.19285462685057747,1.212706485743064
314,2015-09-26,True,2-2015/2016,2,2015/2016,0.40241698855777974,0.05771666155847388,0.28177187410802274,1.3254763100288127
376,2015-10-03,False,2-2015/2016,2,2015/2016,0.40943271244015905,-0.3446916586434057,0.14548918256091142,1.1566052230079682
390,2015-10-17,False,2-2015/2016,2,2015/2016,0.3680032857126583,0.22082530735589723,0.3164909932877919,1.372303882234426
366,2015-10-24,True,2-2015/2016,2,2015/2016,0.34572186866864923,-0.2146424123287134,0.14959437031957235,1.1613630638442258
271,2015-10-31,False,2-2015/2016,2,2015/2016,0.18561876842776562,-0.3446916586434057,1.0118952855686647e-05,1.0000101190040525
400,2015-11-07,True,2-2015/2016,2,2015/2016,0.18919982385947512,0.05771666155847388,0.1431807170541247,1.1539383191577892
332,2015-11-21,False,2-2015/2016,2,2015/2016,-0.17719143053479783,0.22082530735589723,-0.03788557227305457,0.9628231082477066
326,2015-11-28,True,2-2015/2016,2,2015/2016,-0.24962065682316448,-0.2146424123287134,-0.2373782712501066,0.7886928917376931
291,2015-12-05,False,2-2015/2016,2,2015/2016,-0.29279997166317157,0.15735768589766153,-0.13524479151688001,0.873502059620344
391,2015-12-14,True,2-2015/2016,2,2015/2016,-0.6466976418268287,-0.2146424123287134,-0.49547831150248833,0.6092794122380443
331,2015-12-19,False,2-2015/2016,2,2015/2016,-0.7104442151578899,-0.2146424123287134,-0.5369135841676782,0.5845496342832057
394,2015-12-26,False,2-2015/2016,2,2015/2016,-0.49920648120137784,-0.3446916586434057,-0.4451262933060876,0.6407433493262357
239,2015-12-29,True,2-2015/2016,2,2015/2016,-0.42553849119818804,-0.2146424123287134,-0.3517248635938719,0.7034736465632117
231,2016-01-02,True,2-2015/2016,2,2015/2016,-0.6979549485580865,0.15735768589766153,-0.39859552649857466,0.6712621542058882
420,2016-01-13,False,2-2015/2016,2,2015/2016,-1.0376338117275292,-0.3446916586434057,-0.795104058148086,0.45153424666037395
550,2016-01-16,False,2-2015/2016,2,2015/2016,-2.8809234948670395,-0.2146424123287134,-1.9477251159786253,0.1425980970190225
598,2016-01-23,True,2-2015/2016,2,2015/2016,-1.1670247744231446,0.15735768589766153,-0.7034909133108626,0.4948547898389262
562,2016-02-02,True,2-2015/2016,2,2015/2016,-1.1939939732821379,-0.2146424123287134,-0.8512209269484392,0.42689340797626596
569,2016-02-06,False,2-2015/2016,2,2015/2016,-0.9522661278933159,-0.3446916586434057,-0.7396150636558473,0.4772976093603687
555,2016-02-14,False,2-2015/2016,2,2015/2016,-0.8096758111865984,-0.2146424123287134,-0.6014141215863387,0.5480360981942741
241,2016-02-27,True,2-2015/2016,2,2015/2016,-0.5472548407396841,0.15735768589766153,-0.30064045641661313,0.7403439108023541
541,2016-03-01,True,2-2015/2016,2,2015/2016,-0.5958896217317239,-0.3446916586434057,-0.5079703346508125,0.6017156216013735
568,2016-03-05,False,2-2015/2016,2,2015/2016,-0.24991913008150327,0.15735768589766153,-0.1073722444887956,0.8981912640053058
439,2016-03-14,True,2-2015/2016,2,2015/2016,-0.32651696797780233,0.15735768589766153,-0.15716083912139,0.8545666000224886
516,2016-03-19,False,2-2015/2016,2,2015/2016,-0.4795577297986468,-0.3446916586434057,-0.43235460489431243,0.6489792046752139
429,2016-04-03,True,2-2015/2016,2,2015/2016,-2.638859126824349,-0.3446916586434057,-1.8359005129610189,0.15946983243877755
501,2016-04-10,False,2-2015/2016,2,2015/2016,-2.5706934391799634,0.15735768589766153,-1.6158755454027949,0.19871660883919326
538,2016-04-17,True,2-2015/2016,2,2015/2016,-3.0,-0.3446916586434057,-2.070642080525192,0.12610478627762572
539,2016-04-24,True,2-2015/2016,2,2015/2016,-1.023471021635708,0.15735768589766153,-0.6101809739990287,0.5432525455921129
509,2016-05-01,False,2-2015/2016,2,2015/2016,-0.9589292790122239,-0.12718533914556085,-0.6678189000588919,0.5128258833700515
455,2016-05-07,True,2-2015/2016,2,2015/2016,-0.7524626646032472,0.15735768589766153,-0.43402554192792914,0.6478957067685606
540,2016-05-15,False,2-2015/2016,2,2015/2016,-0.6120872370535202,0.15735768589766153,-0.3427815140206066,0.7097932744987986
609,2015-08-08,True,2-2015/2016,2,2015/2016,0.0,0.0,0.0,1.0
606,2015-08-17,False,2-2015/2016,2,2015/2016,0.48420176954383665,0.03933942147441538,0.3284999477195392,1.3888831677166489
405,2015-08-22,False,2-2015/2016,2,2015/2016,-0.23774671929520036,-0.1073212061643567,-0.19209778969940508,0.8252261659270997
272,2015-08-29,True,2-2015/2016,2,2015/2016,0.18243547153227624,0.04328749616885541,0.13373368015507894,1.1430883519909238
