pressure_state,distance_bin,angle_bin,shots,goals,xg_total,goal_rate,xg_per_shot,modeled_prob,lift_vs_xg,lift_vs_model,bucket_logit,odds_multiplier
Not under pressure,0-12,0-20,881,216,203.3533167615,0.24517593643586832,0.23082101789046539,0.24445212182068465,0.01435491854540294,0.0007238146151836711,0.39008708317404955,1.4771094196586734
Not under pressure,12-18,0-20,1035,115,116.0466337345,0.1111111111111111,0.11212235143429952,0.11081431576038432,-0.001011240323188417,0.0002967953507267834,0.16196531481811666,1.175819457101968
Under pressure,0-12,0-20,528,53,66.626121188,0.10037878787878787,0.12618583558333332,0.0996179752147292,-0.02580704770454545,0.0007608126640586688,-0.07397264589977083,0.9286970971673215
Under pressure,18-24,0-20,209,11,11.0083789453,0.05263157894736842,0.05267166959473685,0.05455318527800996,-4.0090647368429266e-05,-0.0019216063306415412,-0.19699116213258228,0.8211978909186707
Under pressure,12-18,0-20,307,21,27.571186698,0.06840390879478828,0.08980842572638437,0.06798546207382257,-0.02140451693159609,0.0004184467209657067,-0.2527107922840435,0.7766924748017993
Not under pressure,18-24,0-20,1021,45,54.5633216012,0.04407443682664055,0.05344105935475025,0.044068089238704256,-0.0093666225281097,6.347587936293697e-06,-0.4335212709456581,0.6482225041633184
Not under pressure,24+,0-20,1410,41,34.9839982479,0.029078014184397163,0.02481134627510638,0.029355810726664593,0.004266667909290783,-0.00027779654226742917,-0.6820612420364675,0.5055738076220094
Under pressure,24+,0-20,215,5,5.2892346406,0.023255813953488372,0.02460109135162791,0.02597973796207518,-0.0013452773981395376,-0.0027239240085868074,-0.8028051300267235,0.44807030412590776
