match_id,match_date,is_home,competition_season_key,competition_statsbomb_id,competition_season,att_rolling_component,style_att_component,player_component,finishing_bias_logit,finishing_bias_multiplier
355,2015-08-08,True,2-2015/2016,2,2015/2016,0.0,-0.0,0.0,0.0,1.0
409,2015-08-15,False,2-2015/2016,2,2015/2016,0.8048500467281386,0.03004126479052316,0.0,0.45017784189810706,1.5685911219086166
414,2015-08-22,True,2-2015/2016,2,2015/2016,0.7144812886795795,0.06008252958104632,0.0,0.40798534116903035,1.5037851172766947
272,2015-08-29,False,2-2015/2016,2,2015/2016,0.6655973262904175,0.0519243977195426,0.0,0.3790596288896153,1.4609101455960838
298,2015-09-13,True,2-2015/2016,2,2015/2016,0.6006579443910001,-0.07416278540330756,0.0,0.3118211730642232,1.3659104096148065
252,2015-09-19,False,2-2015/2016,2,2015/2016,0.6809866896454575,0.043825003520372,0.0,0.3854989301850947,1.4703477393335072
314,2015-09-26,True,2-2015/2016,2,2015/2016,0.5885929495692642,-0.16182930621660718,0.0,0.28326879570894353,1.327461929936692
376,2015-10-03,False,2-2015/2016,2,2015/2016,0.49806206285128324,0.12016505916209264,0.0,0.30397539935872897,1.3552357160118924
390,2015-10-17,False,2-2015/2016,2,2015/2016,0.01840671265881677,-0.07416278540330756,0.0,-0.008417004388477665,0.9916183194166098
366,2015-10-24,True,2-2015/2016,2,2015/2016,-0.04009968220642864,0.22643656212516872,0.0,0.03455431531775642,1.0351582517985787
271,2015-10-31,False,2-2015/2016,2,2015/2016,-0.22777537502925638,0.12016505916209264,0.0,-0.09523519147556786,0.9091590828549564
400,2015-11-07,True,2-2015/2016,2,2015/2016,0.0762615069821515,0.043825003520372,0.0,0.05290007972027633,1.0543242914778368
332,2015-11-21,False,2-2015/2016,2,2015/2016,0.06696710322265798,-0.07416278540330756,0.0,0.018291210421635,1.0184595192355292
326,2015-11-28,True,2-2015/2016,2,2015/2016,0.0753860031827432,0.043825003520372,0.0,0.052418552630601765,1.053816727982782
291,2015-12-05,False,2-2015/2016,2,2015/2016,0.08058173184129987,0.06923253029272347,0.0,0.0616280850858958,1.0635667148388723
391,2015-12-14,True,2-2015/2016,2,2015/2016,0.13050494082912426,0.06923253029272347,0.0,0.08908585002919922,1.0931745013608347
331,2015-12-19,False,2-2015/2016,2,2015/2016,0.368103414531956,0.06923253029272347,0.0,0.21976501056575667,1.2457839501229413
394,2015-12-26,False,2-2015/2016,2,2015/2016,0.36310487066872393,-0.16182930621660718,0.0,0.15925035231364637,1.1726314809400018
239,2015-12-29,True,2-2015/2016,2,2015/2016,0.30640601003751716,0.12016505916209264,0.0,0.19856457031115762,1.2196507781019912
231,2016-01-02,True,2-2015/2016,2,2015/2016,-0.2819756906314564,-0.16182930621660718,0.0,-0.19554395640145283,0.8223871935880458
420,2016-01-13,False,2-2015/2016,2,2015/2016,-2.605461970185224,0.12016505916209264,0.0,-1.4029628188113503,0.24586742310035947
550,2016-01-16,False,2-2015/2016,2,2015/2016,-0.9127782305712705,0.06923253029272347,0.0,-0.4847198942410179,0.6158696812507092
598,2016-01-23,True,2-2015/2016,2,2015/2016,-0.7998597780034196,-0.07416278540330756,0.0,-0.4584635742527077,0.6322543114408473
562,2016-02-02,True,2-2015/2016,2,2015/2016,-0.15852836775411236,0.06923253029272347,0.0,-0.06988246969158093,0.9325034108791741
569,2016-02-06,False,2-2015/2016,2,2015/2016,-0.012383820762049025,0.12016505916209264,0.0,0.023230163371396197,1.0235020851297394
555,2016-02-14,False,2-2015/2016,2,2015/2016,0.29930979479582515,0.22643656212516872,0.0,0.22122952766899603,1.2476097586624197
241,2016-02-27,True,2-2015/2016,2,2015/2016,0.28349296626393,-0.16182930621660718,0.0,0.11546380489100971,1.1223938886439249
541,2016-03-01,True,2-2015/2016,2,2015/2016,0.07870398707758512,-0.16182930621660718,0.0,0.002829866338520025,1.0028338741899365
568,2016-03-05,False,2-2015/2016,2,2015/2016,-0.3012494668537931,-0.16182930621660718,0.0,-0.20614453332373803,0.8137154587834664
439,2016-03-14,True,2-2015/2016,2,2015/2016,-0.3320392943577337,-0.16182930621660718,0.0,-0.22307893845090535,0.8000516919606083
516,2016-03-19,False,2-2015/2016,2,2015/2016,-0.3501828810271131,-0.16182930621660718,0.0,-0.23305791111906402,0.7921077003526968
429,2016-04-03,True,2-2015/2016,2,2015/2016,-0.29853689921445153,0.12016505916209264,0.0,-0.1341540297774252,0.8744553620647123
501,2016-04-10,False,2-2015/2016,2,2015/2016,-0.2712120002348061,0.06923253029272347,0.0,-0.1318584675559625,0.8764650345398141
538,2016-04-17,True,2-2015/2016,2,2015/2016,-0.40403021713601633,-0.16182930621660718,0.0,-0.26267394597896077,0.7689925895653078
539,2016-04-24,True,2-2015/2016,2,2015/2016,-0.2566583526183532,-0.16182930621660718,0.0,-0.18161942049424606,0.8339186523792517
509,2016-05-01,False,2-2015/2016,2,2015/2016,0.040036039105237675,0.06923253029272347,0.0,0.039327954081061586,1.0401115365454259
455,2016-05-07,True,2-2015/2016,2,2015/2016,0.16130758743749896,-0.16182930621660718,0.0,0.04826184653647264,1.0494454129973385
540,2016-05-15,False,2-2015/2016,2,2015/2016,0.010634270139581995,0.06923253029272347,0.0,0.023156981149950965,1.0234271857141821
609,2015-08-08,True,2-2015/2016,2,2015/2016,0.0,-0.0,0.0,0.0,1.0
606,2015-08-17,False,2-2015/2016,2,2015/2016,-3.0,0.017308132573180868,0.0,-1.645672966856705,0.1928827154324596
405,2015-08-22,False,2-2015/2016,2,2015/2016,-3.0,0.021912501760186,0.0,-1.6445218745599537,0.19310486907551427
272,2015-08-29,True,2-2015/2016,2,2015/2016,-0.31309360863897373,0.032868752640279,0.0,-0.16398429659136582,0.8487553501276505
378,2015-09-12,False,2-2015/2016,2,2015/2016,0.053810487553985244,-0.16182930621660718,0.0,-0.01086155839945991,0.9891972153420331
313,2015-09-19,True,2-2015/2016,2,2015/2016,0.1850961104571184,0.043825003520372,0.0,0.11275911163150813,1.119362259120895
251,2015-09-26,False,2-2015/2016,2,2015/2016,0.5795166803225944,0.043825003520372,0.0,0.32969042505751994,1.3905375862314013
255,2015-10-03,True,2-2015/2016,2,2015/2016,0.456584453036527,0.043825003520372,0.0,0.2620777000501829,1.2996275196298586
340,2015-10-17,False,2-2015/2016,2,2015/2016,0.5105324705190201,-0.07416278540330756,0.0,0.2622521624346342,1.2998542755254436
362,2015-10-25,True,2-2015/2016,2,2015/2016,0.44082707078875166,0.043825003520372,0.0,0.2534111398139064,1.2884128857896047
520,2015-11-01,False,2-2015/2016,2,2015/2016,0.5781839856058332,-0.07416278540330756,0.0,0.29946049573238137,1.3491307494015388
360,2015-11-07,True,2-2015/2016,2,2015/2016,0.1341030619954567,-0.07416278540330756,0.0,0.055215987746674314,1.0567688391480854
257,2015-11-21,False,2-2015/2016,2,2015/2016,-0.3733927966365453,-0.16182930621660718,0.0,-0.24582336470425173,0.7820603521876449
330,2015-11-28,True,2-2015/2016,2,2015/2016,-0.2673829563891978,-0.07416278540330756,0.0,-0.1656013223648857,0.8473839999042231
290,2015-12-05,False,2-2015/2016,2,2015/2016,0.10393412577971557,0.12016505916209264,0.0,0.08720503396936673,1.0911203735263204
316,2015-12-12,True,2-2015/2016,2,2015/2016,0.03321117347372704,0.043825003520372,0.0,0.029222396290642872,1.0296535601460528
349,2015-12-19,False,2-2015/2016,2,2015/2016,0.1975564427155346,0.043825003520372,0.0,0.11961229437363705,1.127059799435574
572,2015-12-26,True,2-2015/2016,2,2015/2016,0.11734007229933334,0.043825003520372,0.0,0.07549329064472635,1.078415992217754
421,2015-12-28,False,2-2015/2016,2,2015/2016,0.021312085596059422,0.06923253029272347,0.0,0.02902977965101355,1.0294552508367647
231,2016-01-02,False,2-2015/2016,2,2015/2016,-0.364837402695714,0.06923253029272347,0.0,-0.18335243890946185,0.8324747075507654
447,2016-01-12,True,2-2015/2016,2,2015/2016,-2.340803810320696,0.06923253029272347,0.0,-1.270133963103202,0.2807940032226546
440,2016-01-16,True,2-2015/2016,2,2015/2016,-0.37720140721408785,0.12016505916209264,0.0,-0.17741950917722518,0.8374284019241585
424,2016-01-23,False,2-2015/2016,2,2015/2016,-0.12526121833623938,0.06923253029272347,0.0,-0.051585537511750795,0.9497224095959289
471,2016-02-02,False,2-2015/2016,2,2015/2016,0.04667281946005245,0.12016505916209264,0.0,0.05571131549355201,1.057292415736452
553,2016-02-07,True,2-2015/2016,2,2015/2016,0.2299305592318334,0.06923253029272347,0.0,0.14376994015068925,1.1546184466211755
561,2016-02-13,True,2-2015/2016,2,2015/2016,0.1203683723977389,-0.16182930621660718,0.0,0.0257452782646046,1.026079550419236
485,2016-02-27,False,2-2015/2016,2,2015/2016,0.08856320208804425,-0.07416278540330756,0.0,0.03016906479759745,1.0306287622682555
595,2016-03-01,True,2-2015/2016,2,2015/2016,-0.5090741847955629,-0.07416278540330756,0.0,-0.2985314979883865,0.7419069129067433
514,2016-03-05,False,2-2015/2016,2,2015/2016,0.08665631653783452,0.06923253029272347,0.0,0.06496910666898986,1.0671260567964538
431,2016-03-12,True,2-2015/2016,2,2015/2016,0.18195199072534432,0.06923253029272347,0.0,0.11738172747212025,1.1245486188702325
238,2016-03-20,False,2-2015/2016,2,2015/2016,0.634165112146094,-0.16182930621660718,0.0,0.3083334851261999,1.361154838149941
497,2016-04-02,True,2-2015/2016,2,2015/2016,0.6121463720323258,-0.16182930621660718,0.0,0.2962231780636274,1.3447702465637363
556,2016-04-09,False,2-2015/2016,2,2015/2016,0.31485689294539637,-0.16182930621660718,0.0,0.13271396456581622,1.1419233210795372
534,2016-04-17,True,2-2015/2016,2,2015/2016,0.19610408592595788,-0.16182930621660718,0.0,0.06739992070512504,1.0697231970973446
546,2016-04-23,True,2-2015/2016,2,2015/2016,0.06739425487745414,-0.16182930621660718,0.0,-0.0033904863715520164,0.9966152548370366
234,2016-04-30,False,2-2015/2016,2,2015/2016,0.13446699394906902,0.043825003520372,0.0,0.08491309755208097,1.0886224586311073
537,2016-05-07,True,2-2015/2016,2,2015/2016,-0.07871774477058031,0.043825003520372,0.0,-0.03233850874372618,0.968178789616245
505,2016-05-17,False,2-2015/2016,2,2015/2016,0.03021184278642582,-0.16182930621660718,0.0,-0.023840813021617592,0.9764411341005212
323,2015-08-10,True,2-2015/2016,2,2015/2016,0.0,0.0,0.0,0.0,1.0
607,2015-08-15,False,2-2015/2016,2,2015/2016,-3.0,0.03004126479052316,0.0,-1.6424896838023693,0.19349769401811226
418,2015-08-23,True,2-2015/2016,2,2015/2016,-3.0,0.06008252958104632,0.0,-1.6349793676047386,0.19495639367505976
265,2015-08-29,False,2-2015/2016,2,2015/2016,-0.2771765071512253,0.032868752640279,0.0,-0.1442298907731042,0.865688711334612
388,2015-09-12,True,2-2015/2016,2,2015/2016,-0.10060102344905927,0.043825003520372,0.0,-0.04437431201688961,0.9565958251379543
279,2015-09-19,False,2-2015/2016,2,2015/2016,-0.16849222874796435,-0.16182930621660718,0.0,-0.1331280523655322,0.8753529939101586
308,2015-09-28,True,2-2015/2016,2,2015/2016,-0.19289536729156445,-0.07416278540330756,0.0,-0.12463314836118734,0.8828207074100897
299,2015-10-03,False,2-2015/2016,2,2015/2016,0.21095418980393235,0.22643656212516872,0.0,0.17263394492345496,1.1884309942530566
232,2015-10-17,True,2-2015/2016,2,2015/2016,0.18951580759124464,-0.16182930621660718,0.0,0.06377636762103277,1.0658540126385927
321,2015-10-24,False,2-2015/2016,2,2015/2016,0.061410330242790113,0.12016505916209264,0.0,0.06381694642405772,1.0658972645961753
271,2015-10-31,True,2-2015/2016,2,2015/2016,0.10137352912305768,-0.16182930621660718,0.0,0.015298114463529931,1.0154157296145645
381,2015-11-07,False,2-2015/2016,2,2015/2016,0.03029494281396546,0.12016505916209264,0.0,0.04670348333820416,1.047811269512375
382,2015-11-21,True,2-2015/2016,2,2015/2016,-0.14923101953000728,0.06923253029272347,0.0,-0.06476892816832314,0.9372840182914776
371,2015-11-29,False,2-2015/2016,2,2015/2016,0.03511876952112599,0.043825003520372,0.0,0.030271574116712295,1.030734416736127
533,2015-12-05,True,2-2015/2016,2,2015/2016,-0.17768051877789753,0.043825003520372,0.0,-0.08676803444775065,0.9168897578060707
254,2015-12-13,False,2-2015/2016,2,2015/2016,-0.17329618742261946,0.12016505916209264,0.0,-0.06527163829191755,0.9368129545409779
349,2015-12-19,True,2-2015/2016,2,2015/2016,0.2606340318802977,-0.16182930621660718,0.0,0.10289139098001196,1.1083710234480033
372,2015-12-26,False,2-2015/2016,2,2015/2016,0.6079172668191176,-0.16182930621660718,0.0,0.2938971701963629,1.3416459353853811
522,2015-12-28,True,2-2015/2016,2,2015/2016,0.41214800506350463,-0.16182930621660718,0.0,0.18622407623077578,1.2046921730173716
486,2016-01-02,True,2-2015/2016,2,2015/2016,-0.14821341004936572,-0.07416278540330756,0.0,-0.10005807187797805,0.9047848739535109
459,2016-01-13,False,2-2015/2016,2,2015/2016,-0.23487763610196385,0.06923253029272347,0.0,-0.11187456728289927,0.8941564069342409
510,2016-01-16,False,2-2015/2016,2,2015/2016,-0.07016857222075457,0.043825003520372,0.0,-0.027636463841322012,0.9727419293953569
