pressure_state,distance_bin,angle_bin,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg
Not under pressure,0-12,0-20,881,216,203.3533167615,0.24517593643586832,0.23082101789046539,0.01435491854540294
Under pressure,0-12,0-20,528,53,66.626121188,0.10037878787878787,0.12618583558333332,-0.02580704770454545
Not under pressure,12-18,0-20,1035,115,116.0466337345,0.1111111111111111,0.11212235143429952,-0.001011240323188417
Under pressure,12-18,0-20,307,21,27.571186698,0.06840390879478828,0.08980842572638437,-0.02140451693159609
Not under pressure,18-24,0-20,1021,45,54.5633216012,0.04407443682664055,0.05344105935475025,-0.0093666225281097
Under pressure,18-24,0-20,209,11,11.0083789453,0.05263157894736842,0.05267166959473685,-4.0090647368429266e-05
Not under pressure,24+,0-20,1377,40,34.7390262969,0.029048656499636893,0.025228051050762527,0.003820605448874366
Under pressure,24+,0-20,210,5,5.2627208363,0.023809523809523808,0.02506057541095238,-0.0012510516014285732
