player_id,player_name,team_id,total_cxa_goals,total_true_xa,total_actions,key_actions,pre_assists,passes,carries,dribbles,pass_credit,carry_credit,dribble_credit,avg_credit_per_action,avg_true_xa
236.0,Kylian Mbappé Lottin,16,6.849176362394715,17.13953758666712,169,60,42,67,101,1,2.772359333601372,4.076817028793343,0.0,0.04052767078340068,0.10141738216962794
226.0,Antoine Griezmann,16,6.402225734342877,11.119958559952234,124,53,27,74,50,0,4.023759994617669,2.378465739725207,0.0,0.051630852696313526,0.08967708516090511
385.0,Daniel Olmo Carvajal,23,6.336452478625914,8.343293518052661,87,40,19,38,49,0,2.2455395591399774,4.0909129194859375,0.0,0.0728327871106427,0.09589992549485818
146.0,Memphis Depay,11,6.263068900863535,12.62154820179451,87,35,15,46,41,0,2.6789163074909306,3.584152593372605,0.0,0.07198929771107512,0.14507526668729323
11.0,Xherdan Shaqiri,3,6.2510586094950735,9.238059522461093,73,37,11,35,38,0,4.696538723719186,1.5545198857758866,0.0,0.08563093985609689,0.12654876058165881
20.0,Dušan Tadić,2,5.086916713374635,6.474248972234333,52,22,15,31,21,0,3.339369135471917,1.7475475779027185,0.0,0.09782532141105069,0.12450478792758334
149.0,Cody Mathès Gakpo,11,4.643288151908822,8.876784926705481,74,31,21,33,40,1,1.0317107760094948,3.6115773758993264,0.0,0.06274713718795705,0.11995655306358759
41.0,Lionel Andrés Messi Cuccittini,4,4.545994524359587,11.491450281884589,123,38,28,51,72,0,1.5006698772103708,3.045324647149217,0.0,0.036959305076094205,0.09342642505597226
332.0,Harry Kane,21,4.478161083557243,7.4182617845658,65,30,11,29,36,0,2.0199856681777217,2.4581754153795217,0.0,0.06889478590088066,0.11412710437793538
361.0,Ivan Perišić,22,4.39038462480003,8.803984218757575,76,42,21,31,45,0,2.608579110171761,1.7818055146282687,0.0,0.05776821874736881,0.11584189761523125
1125.0,Arda Güler,42,4.338994432186884,3.4759852559521787,28,13,5,15,13,0,3.2211127786388136,1.1178816535480702,0.0,0.1549640868638173,0.12414233056972067
46.0,Julián Álvarez,4,4.314521911143322,2.795192215974356,20,8,4,8,12,0,0.5815359526512471,3.7329859584920744,0.0,0.2157260955571661,0.1397596107987178
208.0,Bruno Miguel Borges Fernandes,15,4.297607349571533,5.265878688384597,73,36,13,39,34,0,2.2466375528824427,2.05096979668909,0.0,0.058871333555774424,0.07213532449841914
516.0,Kevin De Bruyne,29,4.221633271888617,14.802808374566787,144,46,37,84,60,0,2.4915674154721006,1.7300658564165161,0.0,0.02931689772144873,0.10279728037893603
459.0,Jamal Musiala,26,4.1593010032902695,10.358753551815584,92,29,23,33,59,0,1.2539145042238355,2.9053864990664335,0.0,0.04520979351402467,0.1125951473023433
395.0,Álvaro Borja Morata Martín,23,4.103300162470409,4.463438287861932,47,25,8,17,29,1,1.1768092217002666,2.926490940770142,0.0,0.08730425877596613,0.09496677208216876
83.0,Neymar da Silva Santos Junior,7,3.8576350397985086,12.835855980179751,104,39,17,49,54,1,2.3882060605299644,1.4694289792685444,0.0,0.0370926446134472,0.12342169211711299
