player_id,player_name,team_id,total_cxa,total_true_xa,total_actions,key_actions,pre_assists,passes,carries,dribbles,pass_credit,carry_credit,dribble_credit,avg_credit_per_action,avg_true_xa
516.0,Kevin De Bruyne,29,6.1966654394164635,14.802808374566787,144,46,37,84,60,0,4.181892666076143,2.014772773340321,0.0,0.04303239888483655,0.10279728037893603
146.0,Memphis Depay,11,5.7901931453074615,12.62154820179451,87,35,15,46,41,0,2.9814796671719144,2.808713478135547,0.0,0.06655394419893634,0.14507526668729323
226.0,Antoine Griezmann,16,5.3931449414323005,11.119958559952234,124,53,27,74,50,0,4.238148788329449,1.1549961531028514,0.0,0.04349310436638952,0.08967708516090511
83.0,Neymar da Silva Santos Junior,7,5.280585501775762,12.835855980179751,104,39,17,49,54,1,3.3836803591709823,1.892537889211949,0.0043672533928300235,0.05077486059399771,0.12342169211711299
357.0,Luka Modrić,22,5.260503579433075,11.132930600906642,125,36,26,74,51,0,3.895165902804583,1.3653376766284924,0.0,0.0420840286354646,0.08906344480725313
667.0,Kieran Trippier,21,5.242904851804543,9.730797116214067,87,36,25,67,20,0,4.589536304523986,0.653368547280558,0.0,0.06026327415867291,0.11184824271510421
236.0,Kylian Mbappé Lottin,16,5.225368942702794,17.13953758666712,169,60,42,67,101,1,2.3943727034049846,2.820391395678733,0.010604843619076003,0.030919342856229548,0.10141738216962794
907.0,Toni Kroos,26,4.9178531652976565,9.863592392612956,111,37,13,66,45,0,3.7818399076192315,1.1360132576784252,0.0,0.044304983471150056,0.08886119272624285
41.0,Lionel Andrés Messi Cuccittini,4,4.7449296380252015,11.491450281884589,123,38,28,51,72,0,2.5251694643716247,2.219760173653577,0.0,0.03857666372378213,0.09342642505597226
464.0,Joshua Kimmich,26,4.4800824289327235,14.952928680161095,120,38,38,66,54,0,2.9738768203738823,1.506205608558842,0.0,0.037334020241106027,0.12460773900134246
11.0,Xherdan Shaqiri,3,4.351133208074547,9.238059522461093,73,37,11,35,38,0,3.284498219336164,1.0666349887383824,0.0,0.059604564494171876,0.12654876058165881
66.0,Christian Dannemann Eriksen,6,4.3187250034795355,5.9456516474634284,84,42,17,52,31,1,3.470741224890957,0.8279105768944843,0.020073201694095197,0.0514133928985659,0.07078156723170748
385.0,Daniel Olmo Carvajal,23,3.5812856315128028,8.343293518052661,87,40,19,38,49,0,1.693706753474932,1.8875788780378708,0.0,0.0411642026610667,0.09589992549485818
387.0,Pedro González López,23,3.473930898713089,10.634267999074325,103,12,27,59,44,0,2.054764299105809,1.4191665996072804,0.0,0.033727484453525136,0.10324532037936238
459.0,Jamal Musiala,26,3.4264648658372696,10.358753551815584,92,29,23,33,59,0,1.069660774957227,2.3568040908800434,0.0,0.03724418332431815,0.1125951473023433
208.0,Bruno Miguel Borges Fernandes,15,3.143277450551715,5.265878688384597,73,36,13,39,34,0,2.4320942894346267,0.7111831611170883,0.0,0.04305859521303719,0.07213532449841914
332.0,Harry Kane,21,3.05797957831977,7.4182617845658,65,30,11,29,36,0,1.6448985928985336,1.4130809854212367,0.0,0.047045839666458,0.11412710437793538
