chain_label,minute_bucket_label,shots,goals,mean_xg,goal_rate,lift_vs_xg,bucket_share
Direct + Ground Pass,30-45,155,13,0.06299765662774194,0.08387096774193549,0.02087331111419355,0.19472361809045227
Direct + Ground Pass,45-60,200,11,0.0692931267105,0.055,-0.014293126710500002,0.18399264029438822
Direct + Ground Pass,60-75,151,13,0.07427779429536424,0.08609271523178808,0.011814920936423834,0.17062146892655367
Direct + Ground Pass,75-90,144,9,0.07219925912916667,0.0625,-0.009699259129166665,0.17412333736396615
Direct + Ground Pass,90+,95,8,0.07966888555578948,0.08421052631578947,0.004541640759999993,0.1280323450134771
Direct + Ground Pass,Unknown,0,0,,0.0,0.0,0.0
Direct + High Pass,0-15,30,0,0.08435110373333334,0.0,-0.08435110373333334,0.04189944134078212
Direct + High Pass,15-30,32,4,0.0861691878125,0.125,0.038830812187499994,0.041237113402061855
Direct + High Pass,30-45,44,0,0.07375050286363637,0.0,-0.07375050286363637,0.05527638190954774
Direct + High Pass,45-60,36,2,0.09372047602777778,0.05555555555555555,-0.038164920472222225,0.03311867525298988
Direct + High Pass,60-75,44,5,0.1236632982840909,0.11363636363636363,-0.010026934647727262,0.04971751412429379
Direct + High Pass,75-90,42,3,0.10939753611904762,0.07142857142857142,-0.0379689646904762,0.05078597339782346
Direct + High Pass,90+,30,6,0.14979184133333331,0.2,0.0502081586666667,0.04043126684636118
Direct + High Pass,Unknown,0,0,,0.0,0.0,0.0
Direct + Switch,0-15,17,1,0.08248650988235294,0.058823529411764705,-0.023662980470588235,0.023743016759776536
Direct + Switch,15-30,32,1,0.0714588038125,0.03125,-0.0402088038125,0.041237113402061855
Direct + Switch,30-45,17,0,0.05544258241176471,0.0,-0.05544258241176471,0.02135678391959799
Direct + Switch,45-60,24,2,0.06088106614583333,0.08333333333333333,0.0224522671875,0.02207911683532659
Direct + Switch,60-75,15,0,0.08022614053333334,0.0,-0.08022614053333334,0.01694915254237288
Direct + Switch,75-90,19,1,0.07665155,0.05263157894736842,-0.02401997105263158,0.022974607013301087
Direct + Switch,90+,9,0,0.06662427288888889,0.0,-0.06662427288888889,0.012129380053908356
Direct + Switch,Unknown,0,0,,0.0,0.0,0.0
Direct + Through Ball,0-15,7,3,0.2126660424285714,0.42857142857142855,0.21590538614285715,0.009776536312849162
Direct + Through Ball,15-30,11,2,0.2661967490909091,0.18181818181818182,-0.0843785672727273,0.014175257731958763
Direct + Through Ball,30-45,9,5,0.28469502,0.5555555555555556,0.27086053555555556,0.011306532663316583
Direct + Through Ball,45-60,16,5,0.18729867721875,0.3125,0.12520132278125,0.014719411223551058
Direct + Through Ball,60-75,16,6,0.18606399125,0.375,0.18893600875,0.01807909604519774
Direct + Through Ball,75-90,13,4,0.14908875361538462,0.3076923076923077,0.1586035540769231,0.015719467956469165
Direct + Through Ball,90+,7,1,0.2357607972857143,0.14285714285714285,-0.09290365442857146,0.009433962264150943
Direct + Through Ball,Unknown,0,0,,0.0,0.0,0.0
Dribble + Ground Pass,0-15,1,0,0.079396516,0.0,-0.079396516,0.0013966480446927375
Dribble + Ground Pass,15-30,1,0,0.020980582,0.0,-0.020980582,0.001288659793814433
Dribble + Ground Pass,30-45,0,0,,0.0,0.0,0.0
Dribble + Ground Pass,45-60,0,0,,0.0,0.0,0.0
Dribble + Ground Pass,60-75,0,0,,0.0,0.0,0.0
Dribble + Ground Pass,75-90,0,0,,0.0,0.0,0.0
Dribble + Ground Pass,90+,0,0,,0.0,0.0,0.0
Dribble + Ground Pass,Unknown,0,0,,0.0,0.0,0.0
Dribble + High Pass,0-15,0,0,,0.0,0.0,0.0
Dribble + High Pass,15-30,1,0,0.01084097,0.0,-0.01084097,0.001288659793814433
Dribble + High Pass,30-45,1,0,0.063381545,0.0,-0.063381545,0.001256281407035176
Dribble + High Pass,45-60,0,0,,0.0,0.0,0.0
Dribble + High Pass,60-75,1,1,0.29249918,1.0,0.7075008199999999,0.0011299435028248588
Dribble + High Pass,75-90,0,0,,0.0,0.0,0.0
Dribble + High Pass,90+,0,0,,0.0,0.0,0.0
Dribble + High Pass,Unknown,0,0,,0.0,0.0,0.0
Dribble + Switch,0-15,0,0,,0.0,0.0,0.0
Dribble + Switch,15-30,1,0,0.030144284,0.0,-0.030144284,0.001288659793814433
Dribble + Switch,30-45,0,0,,0.0,0.0,0.0
Dribble + Switch,45-60,0,0,,0.0,0.0,0.0
Dribble + Switch,60-75,0,0,,0.0,0.0,0.0
Dribble + Switch,75-90,0,0,,0.0,0.0,0.0
Dribble + Switch,90+,0,0,,0.0,0.0,0.0
Dribble + Switch,Unknown,0,0,,0.0,0.0,0.0
Duel Win + Cross,0-15,0,0,,0.0,0.0,0.0
Duel Win + Cross,15-30,2,0,0.185643935,0.0,-0.185643935,0.002577319587628866
Duel Win + Cross,30-45,1,1,0.08633457,1.0,0.91366543,0.001256281407035176
Duel Win + Cross,45-60,0,0,,0.0,0.0,0.0
Duel Win + Cross,60-75,0,0,,0.0,0.0,0.0
Duel Win + Cross,75-90,0,0,,0.0,0.0,0.0
Duel Win + Cross,90+,0,0,,0.0,0.0,0.0
Duel Win + Cross,Unknown,0,0,,0.0,0.0,0.0
Duel Win + Ground Pass,0-15,0,0,,0.0,0.0,0.0
Duel Win + Ground Pass,15-30,3,0,0.022901223933333336,0.0,-0.022901223933333336,0.003865979381443299
Duel Win + Ground Pass,30-45,2,0,0.12344187,0.0,-0.12344187,0.002512562814070352
Duel Win + Ground Pass,45-60,2,0,0.0294266695,0.0,-0.0294266695,0.0018399264029438822
Duel Win + Ground Pass,60-75,0,0,,0.0,0.0,0.0
Duel Win + Ground Pass,75-90,0,0,,0.0,0.0,0.0
Duel Win + Ground Pass,90+,0,0,,0.0,0.0,0.0
Duel Win + Ground Pass,Unknown,0,0,,0.0,0.0,0.0
Duel Win + High Pass,0-15,0,0,,0.0,0.0,0.0
Duel Win + High Pass,15-30,2,0,0.068499148,0.0,-0.068499148,0.002577319587628866
Duel Win + High Pass,30-45,0,0,,0.0,0.0,0.0
Duel Win + High Pass,45-60,2,0,0.12525836099999998,0.0,-0.12525836099999998,0.0018399264029438822
Duel Win + High Pass,60-75,0,0,,0.0,0.0,0.0
Duel Win + High Pass,75-90,0,0,,0.0,0.0,0.0
Duel Win + High Pass,90+,0,0,,0.0,0.0,0.0
Duel Win + High Pass,Unknown,0,0,,0.0,0.0,0.0
Duel Win + Switch,0-15,0,0,,0.0,0.0,0.0
Duel Win + Switch,15-30,1,0,0.009048959,0.0,-0.009048959,0.001288659793814433
Duel Win + Switch,30-45,0,0,,0.0,0.0,0.0
Duel Win + Switch,45-60,0,0,,0.0,0.0,0.0
Duel Win + Switch,60-75,1,0,0.026730016,0.0,-0.026730016,0.0011299435028248588
Duel Win + Switch,75-90,0,0,,0.0,0.0,0.0
Duel Win + Switch,90+,0,0,,0.0,0.0,0.0
Duel Win + Switch,Unknown,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,0-15,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,15-30,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,30-45,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,45-60,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,60-75,1,0,0.46036732,0.0,-0.46036732,0.0011299435028248588
Duel Win + Through Ball,75-90,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,90+,0,0,,0.0,0.0,0.0
Duel Win + Through Ball,Unknown,0,0,,0.0,0.0,0.0
Unassisted,0-15,200,24,0.11325442495699999,0.12,0.00674557504300001,0.27932960893854747
Unassisted,15-30,214,25,0.10757564218364486,0.11682242990654206,0.009246787722897193,0.2757731958762887
Unassisted,30-45,209,23,0.12913185259665072,0.11004784688995216,-0.019084005706698562,0.26256281407035176
Unassisted,45-60,326,51,0.14836013244785276,0.15644171779141106,0.008081585343558295,0.2999080036798528
Unassisted,60-75,227,30,0.14459029251497796,0.13215859030837004,-0.012431702206607914,0.25649717514124293
Unassisted,75-90,231,25,0.13330211373419912,0.10822510822510822,-0.025077005509090894,0.279322853688029
Unassisted,90+,293,112,0.44577678038020474,0.3822525597269625,-0.06352422065324226,0.3948787061994609
Unassisted,Unknown,0,0,,0.0,0.0,0.0
