distance_bin,shots,goals,mean_xg,goal_rate,distance_mid
"[0, 5)",86,44,0.5200389013953489,0.5116279069767442,2.5
"[5, 10)",868,167,0.19680593450057604,0.1923963133640553,7.5
"[10, 15)",1353,283,0.23022109310421285,0.20916481892091648,12.5
"[15, 20)",1086,88,0.082902224553407,0.08103130755064457,17.5
"[20, 25)",1033,40,0.043527762970571156,0.03872216844143272,22.5
"[25, 30)",866,29,0.028471706906120095,0.03348729792147806,27.5
"[30, 35)",391,6,0.016444987951662403,0.015345268542199489,32.5
"[35, 40)",108,1,0.007117471683333333,0.009259259259259259,37.5
