set_piece_category,shots,goals,mean_xg,goal_rate,lift_vs_xg
Throw In,1015,95,0.0880264379915271,0.09359605911330049,0.005569621121773394
Corner,932,70,0.09475326346791846,0.07510729613733906,-0.019645967330579397
Indirect Free Kick,859,78,0.09509578354714784,0.09080325960419092,-0.004292523942956927
Other Restart,320,50,0.13129695720781248,0.15625,0.02495304279218752
Goal Kick,233,21,0.0960810393858369,0.09012875536480687,-0.005952284021030027
Penalty,223,152,0.7835,0.6816143497757847,-0.10188565022421525
Direct Free Kick,212,9,0.04214224893349056,0.04245283018867924,0.00031058125518867996
Kick Off,64,4,0.089335953725,0.0625,-0.026835953725
