chain_label,score_state,shots,goals,mean_xg,goal_rate,lift_vs_xg,state_share,chain_share
Duel Win + Switch,Trailing 1,1,0,0.009048959,0.0,-0.009048959,0.000847457627118644,0.5
Duel Win + Switch,Level,0,0,,0.0,0.0,0.0,0.0
Duel Win + Switch,Leading 1,1,0,0.026730016,0.0,-0.026730016,0.0011641443538998836,0.5
Duel Win + Switch,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Switch,Unknown,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Trailing 1,1,0,0.46036732,0.0,-0.46036732,0.000847457627118644,1.0
Duel Win + Through Ball,Level,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Leading 1,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Unknown,0,0,,0.0,0.0,0.0,0.0
Unassisted,Trailing 2+,123,26,0.2698604715284553,0.21138211382113822,-0.0584783577073171,0.33153638814016173,0.07235294117647059
Unassisted,Trailing 1,362,70,0.21743280635027623,0.19337016574585636,-0.02406264060441987,0.30677966101694915,0.21294117647058824
Unassisted,Level,872,127,0.15476765222305047,0.14564220183486237,-0.0091254503881881,0.28534031413612565,0.5129411764705882
Unassisted,Leading 1,240,52,0.22294707196416666,0.21666666666666667,-0.006280405297499986,0.27939464493597205,0.1411764705882353
Unassisted,Leading 2+,103,15,0.14451660395728155,0.14563106796116504,0.0011144640038834863,0.2837465564738292,0.060588235294117644
Unassisted,Unknown,0,0,,0.0,0.0,0.0,0.0
