model_display,auc_mean,brier_mean,log_loss_mean
Baseline Geometry,0.7386130641277641,0.07600980002503878,0.272772266414872
Contextual (Enriched Priors),0.8646164574543509,0.06311927512187394,0.2188411383237141
Contextual (Filtered),0.8273710623346062,0.06778691842030095,0.23783345292349906
StatsBomb Provider xG,0.79907747700075,0.06790051712796516,0.24479563077025077
